date	close	x
01-Oct-14	731277.1057	1412187305
02-Oct-14	624053.1904	1412273705
03-Oct-14	646978.0055	1412360105
04-Oct-14	701363.3878	1412446505
05-Oct-14	832748.7001	1412532905
06-Oct-14	1220734.779	1412619305
07-Oct-14	877334.1147	1412705705
08-Oct-14	767509.0555	1412792105
09-Oct-14	1095727.483	1412878505
10-Oct-14	919976.9903	1412964905
11-Oct-14	700669.8075	1413051305
12-Oct-14	462113.0089	1413137705
13-Oct-14	763961.0632	1413224105
14-Oct-14	901154.5788	1413310505
15-Oct-14	1182079.054	1413396905
16-Oct-14	1054418.564	1413483305
17-Oct-14	941743.9903	1413569705
18-Oct-14	623439.8269	1413656105
19-Oct-14	469915.1968	1413742505
20-Oct-14	779840.4409	1413828905
21-Oct-14	597224.0938	1413915305
22-Oct-14	856126.742	1414001705
23-Oct-14	1056703.001	1414088105
24-Oct-14	729895.5124	1414174505
25-Oct-14	967324.3819	1414260905
26-Oct-14	869465.6116	1414347305
27-Oct-14	1047668.332	1414433705
28-Oct-14	831304.7652	1414520105
29-Oct-14	785066.4008	1414606505
30-Oct-14	713144.3449	1414692905
31-Oct-14	1213778.66	1414779305
01-Nov-14	827309.2892	1414865705
02-Nov-14	559357.2712	1414952105
03-Nov-14	1042661.312	1415038505
04-Nov-14	923157.2126	1415124905
05-Nov-14	1152156.045	1415211305
06-Nov-14	748729.8643	1415297705
07-Nov-14	878920.5941	1415384105
08-Nov-14	610662.4295	1415470505
09-Nov-14	527379.8869	1415556905
10-Nov-14	892187.1142	1415643305
11-Nov-14	696341.6986	1415729705
12-Nov-14	987906.6216	1415816105
13-Nov-14	1238485.92	1415902505
14-Nov-14	1507331.412	1415988905
15-Nov-14	818788.5823	1416075305
16-Nov-14	696352.429	1416161705
17-Nov-14	810899.0753	1416248105
18-Nov-14	1003526.484	1416334505
19-Nov-14	932714.6384	1416420905
20-Nov-14	1049769.09	1416507305
21-Nov-14	1154314.516	1416593705
22-Nov-14	1010860.917	1416680105
23-Nov-14	630481.049	1416766505
24-Nov-14	684551.8473	1416852905
25-Nov-14	971907.5627	1416939305
26-Nov-14	1104521.734	1417025705
27-Nov-14	1029359.486	1417112105
28-Nov-14	1213410.976	1417198505
29-Nov-14	1033732.094	1417284905
30-Nov-14	990440.1206	1417371305
01-Dec-14	1309082.45	1417457705
02-Dec-14	1337249.838	1417544105
